target	mode	pn_exit	em_exit	pn_actions	em_actions	pn_completed	em_completed	pn_vdb	em_vdb	vdb_delta	seconds
dev-embedded/minipro	--build	OK	OK	8	3	9	3	3	3	=	105
app-text/libstaroffice	--build	OK	OK	10	4	11	4	4	4	=	1041
dev-embedded/arduino	--build	FAIL(3)	FAIL(1)	142	?	84	0	24	0	+24	438
dev-go/gocov	--build	OK	OK	7	3	8	3	3	3	=	429
app-vim/ant_menu	--build	FAIL(3)	FAIL(1)	117	12	70	32	19	32	-13	1325
dev-go/gogo-protobuf	--build	OK	OK	7	3	8	3	3	3	=	462
dev-cpp/msgpack-cxx	--build	OK	OK	8	3	9	3	3	3	=	873
dev-go/gotestsum	--build	OK	OK	7	3	8	3	3	3	=	444
dev-gap/radiroot	--build	OK	OK	72	24	73	24	24	24	=	1327
dev-gap/fga	--build	OK	OK	72	24	73	24	24	24	=	1360
dev-gap/resclasses	--build	OK	OK	72	24	73	24	24	24	=	1302
dev-gap/liepring	--build	OK	OK	78	26	79	26	26	26	=	1379
dev-cpp/cld3	--build	OK	OK	9	3	10	3	3	3	=	2511
dev-erlang/epam	--build	OK	OK	14	6	15	6	6	6	=	2710
app-crypt/sequoia-chameleon-gnupg	--build	FAIL(124)	FAIL(124)	91	31	0	14	14	14	=	7205
dev-haskell/data-default	--build	FAIL(3)	FAIL(1)	31	0	11	1	0	1	-1	3640
dev-haskell/hspec-wai	--build	FAIL(3)	FAIL(1)	340	0	114	1	0	1	-1	3492
app-text/pandoc-cli	--build	FAIL(3)	FAIL(124)	704	236	236	1	0	1	-1	7204
dev-ada/aunit	--build	FAIL(124)	FAIL(1)	16	?	0	0	2	0	+2	7202
dev-cpp/benchmark	--build	FAIL(124)	FAIL(124)	62	24	0	22	22	22	=	7203
dev-debug/bpftrace	--build	FAIL(124)	FAIL(1)	125	?	0	0	22	0	+22	7202
dev-haskell/hsyaml	--build	FAIL(3)	FAIL(1)	19	0	7	1	0	1	-1	3153
dev-haskell/html	--build	FAIL(3)	FAIL(1)	13	0	5	1	0	1	-1	3132
dev-haskell/async	--build	FAIL(124)	FAIL(1)	25	0	0	1	0	1	-1	7202
dev-haskell/bencode	--build	FAIL(124)	FAIL(1)	19	0	0	1	0	1	-1	7202
dev-haskell/crypto-cipher-types	--build	FAIL(124)	FAIL(124)	25	9	0	1	0	1	-1	7204
dev-haskell/crypto-random	--build	FAIL(3)	FAIL(124)	82	28	28	1	0	1	-1	7203
dev-haskell/ed25519	--build	FAIL(124)	FAIL(1)	13	0	0	1	0	1	-1	7202
dev-haskell/exceptions	--build	FAIL(124)	FAIL(1)	13	0	0	1	0	1	-1	7202
dev-haskell/gtk2hs-buildtools	--build	FAIL(124)	FAIL(124)	90	31	0	1	0	1	-1	7203
dev-haskell/hdbc-postgresql	--build	FAIL(124)	FAIL(1)	63	0	0	12	8	12	-4	7202
dev-java/aspectj	--build	FAIL(3)	FAIL(1)	113	10	64	27	17	27	-10	806
dev-java/eclipse-jdt-annotation	--build	FAIL(3)	FAIL(1)	96	10	57	26	16	26	-10	775
dev-haskell/hspec-contrib	--build	FAIL(3)	FAIL(124)	58	20	20	1	0	1	-1	7203
dev-java/byte-buddy	--build	FAIL(3)	FAIL(1)	116	13	67	29	17	29	-12	932
dev-haskell/http-api-data	--build	FAIL(3)	FAIL(1)	88	0	30	1	0	1	-1	3476
dev-haskell/lift-type	--build	FAIL(3)	FAIL(1)	13	0	5	1	0	1	-1	3380
